"","RegionName","regionID","TownCity","cityID","SuburbName","SuburbID","SA2Name","SA2ID"
"1","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Tamahere North","173200"
"2","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Resthill","181000"
"3","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Fitzroy","181100"
"4","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Peacockes","181300"
"5","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Riverlea","181200"
"6","South Auckland",1002,"Hamilton",100030,"Peacocke",8963,"Lake Cameron","181600"
"7","North Auckland",1001,"Whangaparaoa",100091,"Wade Heads",8962,"Inlets other Auckland","112000"
"8","North Auckland",1001,"Whangaparaoa",100091,"Wade Heads",8962,"Whangaparaoa Central","114900"
"9","Wellington",1006,NA,0,"Pukawa Bay",8965,"Lake Taupo Bays","187900"
"10","Wellington",1006,NA,0,"Pukawa Bay",8965,"Inland water Lake Taupo","188100"
"11","Wellington",1006,NA,0,"Kuku",8974,"Waikawa (Horowhenua District)","234500"
"12","Wellington",1006,NA,0,"Kuku",8974,"Kimberley","236100"
"13","Wellington",1006,NA,0,"Kuku",8974,"Ohau-Manakau","234800"
"14","Wellington",1006,NA,0,"Kuku",8974,"Oceanic Manawatu-Whanganui Region West","259300"
"15","Marlborough",1008,NA,0,"Dillons Point",8975,"Lower Wairau","307200"
"16","Marlborough",1008,NA,0,"Dillons Point",8975,"Inlet Wairau River","308700"
"17","Marlborough",1008,NA,0,"Dillons Point",8975,"Riversdale-Islington","308000"
"18","Marlborough",1008,NA,0,"Dillons Point",8975,"Riverlands","308500"
"19","North Auckland",1001,"Auckland",100004,"Hillpark",8976,"Hillpark South","160300"
"20","North Auckland",1001,"Auckland",100004,"Hillpark",8976,"Wiri East","158400"
"21","North Auckland",1001,"Auckland",100004,"Hillpark",8976,"Hillpark North","159600"
"22","North Auckland",1001,"Auckland",100004,"Hillpark",8976,"Manurewa Central","160100"
"23","Gisborne",1004,NA,0,"Mangatuna",8977,"Tokomaru","205000"
"24","Gisborne",1004,NA,0,"Mangatuna",8977,"Wharekaka","205200"
"25","South Auckland",1002,NA,0,"Matangi",8978,"Tamahere North","173200"
"26","South Auckland",1002,NA,0,"Matangi",8978,"Hautapu Rural","182000"
"27","South Auckland",1002,NA,0,"Matangi",8978,"Hamilton Park","173000"
"28","South Auckland",1002,NA,0,"Matangi",8978,"Pukemoremore","173300"
"29","South Auckland",1002,NA,0,"Matangi",8978,"Tamahere South","173400"
"30","South Auckland",1002,NA,0,"Matangi",8978,"Ruakura","179200"
"31","Wellington",1006,NA,0,"Bainesse",8979,"Taikorea","227800"
"32","Wellington",1006,NA,0,"Bainesse",8979,"Kere Kere","234000"
"33","Marlborough",1008,NA,0,"Kekerengu",8980,"Awatere","307000"
"34","Marlborough",1008,NA,0,"Kekerengu",8980,"Kaikoura Ranges","308800"
"35","Marlborough",1008,NA,0,"Kekerengu",8980,"Oceanic Marlborough Region","363600"
