"","date","lat","lon","SuburbName","SuburbID","TownCity","cityID","RegionName","RegionID","windspeed.kmhr","medianTemp.degC","sunshine.hrs"
"1","20180101:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,17.75,NA
"2","20180102:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,18.8,NA
"3","20180103:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,19.45,NA
"4","20180104:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,18.4,NA
"5","20180105:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5.4,14.6,NA
"6","20180106:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.7,10.6,NA
"7","20180107:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,14,NA
"8","20180108:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,16.9,NA
"9","20180109:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,19.2,NA
"10","20180110:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,16.6,NA
"11","20180111:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.1,12.15,NA
"12","20180112:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,11.6,NA
"13","20180113:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,19.05,NA
"14","20180114:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,20,NA
"15","20180115:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,20.5,NA
"16","20180116:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,20.9,NA
"17","20180117:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,21.9,NA
"18","20180118:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,21.7,NA
"19","20180119:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,21.05,NA
"20","20180120:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,6.1,21.35,NA
"21","20180121:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.7,19.85,NA
"22","20180122:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,20.45,NA
"23","20180123:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,21.3,NA
"24","20180124:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,21,NA
"25","20180125:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,23.6,NA
"26","20180126:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,17.35,NA
"27","20180127:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,22.2,NA
"28","20180128:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,19.15,NA
"29","20180129:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,22.45,NA
"30","20180130:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,23.45,NA
"31","20180131:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,6.8,18.3,NA
"32","20180201:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,7.6,25.7,NA
"33","20180202:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,10.7,NA
"34","20180203:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,11.35,NA
"35","20180204:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,13.55,NA
"36","20180205:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,21.2,17.6,NA
"37","20180206:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,14.25,NA
"38","20180207:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,12.6,NA
"39","20180208:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,13.95,NA
"40","20180209:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,16.8,NA
"41","20180210:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,14.45,NA
"42","20180211:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0.7,19.85,NA
"43","20180212:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,21.95,NA
"44","20180213:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,22.55,NA
"45","20180214:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,18.55,NA
"46","20180215:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,16.95,NA
"47","20180216:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,18.5,NA
"48","20180217:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,7.6,20.3,NA
"49","20180218:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,18.95,NA
"50","20180219:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,9,20.85,NA
"51","20180220:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,12.3,NA
"52","20180221:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,11.6,NA
"53","20180222:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0.7,13.3,NA
"54","20180223:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,13.2,NA
"55","20180224:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,16,NA
"56","20180225:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,16.6,15.65,NA
"57","20180226:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,7.9,11.6,NA
"58","20180227:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0.7,9.15,NA
"59","20180228:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,14.4,NA
"60","20180301:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,19.35,NA
"61","20180302:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,16.45,NA
"62","20180303:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,20.35,NA
"63","20180304:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,19.65,NA
"64","20180305:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,19.6,NA
"65","20180306:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.1,13.45,NA
"66","20180307:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,10.9,NA
"67","20180308:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,12.95,NA
"68","20180309:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,12.45,NA
"69","20180310:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,12.85,NA
"70","20180311:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,13.85,NA
"71","20180312:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,16.15,NA
"72","20180313:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5,16.25,NA
"73","20180314:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,12.6,NA
"74","20180315:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,16.5,NA
"75","20180316:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,8.3,18.6,NA
"76","20180317:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,10.3,NA
"77","20180318:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,12.25,NA
"78","20180319:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,14.3,NA
"79","20180320:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,16.1,NA
"80","20180321:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,16.9,NA
"81","20180322:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,9.25,NA
"82","20180323:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,7.85,NA
"83","20180324:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,12.55,NA
"84","20180325:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,14.05,NA
"85","20180326:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,15.85,NA
"86","20180327:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,12.6,16.15,NA
"87","20180328:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,17.3,NA
"88","20180329:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,13.9,NA
"89","20180330:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,13.9,NA
"90","20180331:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,11.5,15.5,NA
"91","20180401:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,11.2,NA
"92","20180402:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.7,11.5,NA
"93","20180403:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5.8,19.3,NA
"94","20180404:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,13.7,13.45,NA
"95","20180405:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,16,NA
"96","20180406:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,13.9,NA
"97","20180407:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.7,12.05,NA
"98","20180408:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,9.95,NA
"99","20180409:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,10.85,NA
"100","20180410:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,0.7,NA
"101","20180411:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,2.3,NA
"102","20180412:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,4.75,NA
"103","20180413:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,4.85,NA
"104","20180414:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,6.6,NA
"105","20180415:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,10.75,NA
"106","20180416:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5.8,11.25,NA
"107","20180417:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,9,12.6,NA
"108","20180418:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5,8.2,NA
"109","20180419:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,9.75,NA
"110","20180420:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,10.1,14.7,NA
"111","20180421:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,7.2,15.6,NA
"112","20180422:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,8.75,NA
"113","20180423:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,8.65,NA
"114","20180424:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,9,NA
"115","20180425:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,9.6,NA
"116","20180426:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,11.4,NA
"117","20180427:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,9.35,NA
"118","20180428:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,9.4,NA
"119","20180429:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,11.35,NA
"120","20180430:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.1,9.2,NA
"121","20180501:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,11.65,NA
"122","20180502:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,11.7,NA
"123","20180503:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,7.85,NA
"124","20180504:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,8.35,NA
"125","20180505:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,7.65,NA
"126","20180506:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,11.35,NA
"127","20180507:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5.4,10.3,NA
"128","20180508:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,14.8,11.8,NA
"129","20180509:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,6.5,16.15,NA
"130","20180510:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,7.7,NA
"131","20180511:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,13.25,NA
"132","20180512:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.9,10.35,NA
"133","20180513:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0,5.5,NA
"134","20180514:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.8,8.35,NA
"135","20180515:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0.7,10.1,NA
"136","20180516:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,6.35,NA
"137","20180517:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,7.65,NA
"138","20180518:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,6.1,10.15,NA
"139","20180519:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,9.4,NA
"140","20180520:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,24.5,10.6,NA
"141","20180521:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.7,8.05,NA
"142","20180522:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,18.4,8.65,NA
"143","20180523:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,5.1,NA
"144","20180524:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,16.2,5.15,NA
"145","20180525:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,4.8,NA
"146","20180526:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,4.75,NA
"147","20180527:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.2,4.45,NA
