"","Agent","Network","Start_Date","End_Date","Percent_Complete","Name","lat","lon"
"1",4232,"G13195","19-Jun-2006","19-Jun-2006",100,"Pelorus SdCrail Bay",-41.10308,"173.96406"
"2",26169,"G04602","01-Oct-2018","27-Oct-2021",90,"Stephens Island Aws",-40.66511,"173.99969"
"3",4395,"G14142","01-May-1997","28-Oct-2021",100,"Brothers Island Aws",-41.1033,"174.44174"
"4",12430,"G13495","01-Jun-1996","29-Oct-2021",100,"Blenheim Research Ews",-41.49891,"173.96285"
"5",4322,"G13581","01-Jan-1972","31-Mar-1987",100,"Blenheim Aero",-41.52,"173.872"
"6",4326,"G13585","01-Oct-1990","28-Oct-2021",100,"Blenheim Aero Aws",-41.52135,"173.86432"
"7",25531,"E14073","01-Dec-2006","28-Oct-2021",100,"Mana Island Aws",-41.08676,"174.77996"
"8",41559,"E1418H","01-May-2017","26-Oct-2021",100,"PoriruaElsdon Park Aws",-41.12683,"174.83531"
"9",25354,"E1427P","13-Jul-2004","29-Oct-2021",100,"WellingtonKelburn Aws",-41.28445,"174.76794"
"10",3385,"E14272","01-Jan-1954","31-Aug-2005",100,"WellingtonKelburn",-41.286,"174.767"
"11",18468,"G14604","01-Sep-2000","31-Aug-2013",100,"Awatere ValleyDashwood Raws",-41.64724,"174.07274"
"12",4241,"G13222","01-Dec-1961","30-Oct-2021",100,"Nelson Aero",-41.299,"173.226"
"13",4271,"G13322","01-Feb-1992","29-Oct-2021",100,"Nelson Aws",-41.30081,"173.21608"
"14",41212,"E1438H","01-Nov-2015","29-Oct-2021",100,"WellingtonGreta Point Cws",-41.30243,"174.80574"
"15",36106,"G13543","01-Nov-2008","03-Oct-2021",80,"Wairau ValleyMill Road Cws",-41.572,"173.497"
"16",3445,"E14387","01-Jan-1972","28-Oct-2021",100,"Wellington Aero",-41.322,"174.804"
"17",41229,"E1438I","01-Nov-2013","28-Oct-2021",100,"Wellington Aero Backup Aws",-41.3313,"174.80566"
"18",40751,"G13314","01-May-2015","30-Oct-2021",100,"Richmond Ews",-41.32773,"173.18615"
"19",4420,"G14711","01-Jan-1972","31-Aug-2021",100,"Grassmere Salt Works",-41.729,"174.145"
"20",3145,"E04991","01-Jan-1972","30-Oct-2021",100,"Paraparaumu Aero",-40.907,"174.984"
"21",12442,"E04995","01-May-2016","30-Oct-2021",100,"Paraparaumu Ews",-40.90392,"174.98437"
"22",8567,"E04994","01-Apr-1993","29-Oct-2021",100,"Paraparaumu Aero Aws",-40.90455,"174.98517"
"23",21937,"G13305","01-Apr-2001","29-Oct-2021",100,"Appleby 2 Ews",-41.31727,"173.09482"
"24",4424,"G14722","01-Sep-1999","28-Oct-2021",100,"Cape Campbell Aws",-41.7265,"174.2762"
"25",18234,"D14482","01-Oct-2001","29-Oct-2021",70,"Baring Head",-41.40828,"174.87146"
"26",12429,"G12195","01-Apr-1995","29-Oct-2021",100,"MotuekaRiwaka Ews",-41.09798,"172.97165"
"27",40750,"E1510M","03-Jan-2015","30-Oct-2021",100,"Upper HuttTrentham Ews",-41.14027,"175.04283"
"28",3798,"F03502","01-May-1982","28-Oct-2021",90,"Farewell Spit Aws",-40.54483,"173.00097"
"29",23849,"F02885","01-May-2003","30-Oct-2021",100,"Takaka Ews",-40.86364,"172.80568"
"30",41352,"E0562B","01-May-2016","28-Oct-2021",100,"Levin Ews",-40.62699,"175.26193"
"31",3275,"E05620","03-Nov-1990","29-Oct-2021",100,"Levin Aws",-40.61986,"175.25954"
"32",21938,"D15234","01-May-2001","30-Oct-2021",100,"Martinborough Ews",-41.25231,"175.38985"
"33",2685,"D15521","01-Nov-1999","28-Oct-2021",100,"Ngawi Aws",-41.5885,"175.2337"
"34",31850,"F12885","01-Jan-2007","31-Jul-2012",100,"St Arnaud Raws",-41.80779,"172.84213"
"35",36735,"D0596H","01-Mar-2009","29-Oct-2021",100,"Masterton Aero Aws",-40.97617,"175.63899"
"36",40984,"D0596I","01-Nov-2015","29-Oct-2021",100,"Masterton Ews",-40.98155,"175.67932"
"37",37662,"D05974","01-Oct-2009","29-Oct-2021",90,"MastertonTe Ore Ore Cws",-40.957,"175.707"
"38",3716,"E95903","01-Aug-1978","28-Feb-1987",100,"Wanganui Aero",-39.96287,"175.02564"
"39",3719,"E95906","01-Aug-1987","28-Oct-2021",100,"Wanganui Aws",-39.96122,"175.02581"
"40",37257,"E05136","01-May-2019","28-Oct-2021",100,"Ohakea Aws",-40.20301,"175.37203"
