School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
82,Aidanfield Christian School,03 338 8153,03 339 0821,enrol@aidanfield.school.nz,Mark Richardson,http://www.aidanfield.school.nz/,2 Nash Road,Aidanfield,Christchurch,2 Nash Road,Aidanfield,Christchurch,8025,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Aidanfield,Halswell Ward,99173,Christian Education Network Community of Learning,-43.563771,172.571,0.16,8,386,154,15,16,156,35,3,7
307,Kaikoura High School,03 319 5138,03 319 5409,jdasler@kaikourahigh.school.nz,John Tait,http://www.kaikourahigh.school.nz,1 Rorrisons Road,,Kaikoura,P O Box 61,,Kaikoura,7340,Rural Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Kaikoura District,Canterbury Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Kaikoura Rural,Area Outside Ward,99025,Kaikoura Community of Learning,-42.400438,173.674454,3.05,4,215,132,75,3,5,0,0,0
308,Amuri Area School,03 315 8233,03 315 8476,office@amuri.school.nz,James Griggs,http://www.amuri.school.nz,School Road,,Culverden,P O Box 62,,Culverden,7345,Rural Area,Composite,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Culverden,Amuri-Hurunui Ward,99066,Tipu Maia Community of Learning,-42.771117,172.848257,1.98,8,367,257,48,2,47,12,1,0
309,Cheviot Area School,03 319 8787,03 319 8789,accounts@cheviot.school.nz,Blair Sheat,http://www.cheviot.school.nz/,Hall Street,,Cheviot,P O Box 53,,Cheviot,7341,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Cheviot,Cheviot Ward,99066,Tipu Maia Community of Learning,-42.811459,173.275547,2.31,4,212,153,50,1,4,3,1,0
310,Oxford Area School,03 312 4197,03 312 4824,info@oxford.school.nz,Mike Hart,http://www.oxford.school.nz,52 Bay Road,,Oxford,52 Bay Road,,Oxford,7430,Minor Urban Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Oxford,Oxford-Ohoka Ward,99066,Tipu Maia Community of Learning,-43.2942,172.187986,1.04,7,531,423,64,5,23,14,1,1
311,Hurunui College,03 314 4430,03 314 4559,office@hurunuicollege.school.nz,Stephen Beck,http://www.hurunuicollege.school.nz,Tenterden Street,,Hawarden,P O Box 12,,Hawarden,7348,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hurunui,Amuri-Hurunui Ward,99066,Tipu Maia Community of Learning,-42.92381,172.637037,1.58,7,204,154,29,3,13,5,0,0
312,Rangiora High School,03 311 8888,03 313 8005,admin@rangiorahigh.school.nz,Karen Stewart,http://www.rangiorahigh.school.nz,East Belt,,Rangiora,125 East Belt,,Rangiora,7400,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora North,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.298192,172.598729,0.42,9,1573,1252,226,29,53,5,1,7
314,Kaiapoi High School,03 375 5004,03 327 6127,learn@kaiapoi.school.nz,Bruce Kearney,http://www.kaiapoi.school.nz,101 Ohoka Road,,Kaiapoi,101 Ohoka Road,,Kaiapoi,7630,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Mansfield,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.387172,172.646126,0.34,7,920,674,178,29,27,7,3,2
315,St Bedes College,03 375 0647,03 352 0345,office@stbedes.school.nz,Justin Boyle,http://www.stbedes.school.nz,210 Main North Road,Papanui,Christchurch,P O Box 5380,Papanui,Christchurch,8542,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State : Integrated,Donations may be requested,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Redwood South,Papanui Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.484055,172.616872,0.13,9,811,602,95,32,51,7,3,21
316,Papanui High School,03 352 6119,03 352 6117,admin@papanui.school.nz,Jeffrey Smith,http://www.papanui.school.nz/,30 Langdons Road,Papanui,Christchurch,P O Box 5220,Papanui,Christchurch,8542,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Northcote,Papanui Ward,99039,Tōtaranui Kāhui Ako,-43.491042,172.606715,0.12,7,1578,990,244,54,231,40,11,8
