area_code,area_name,territory_code,territory_name,council
594700,Addington,060,Christchurch City,Canterbury Region
587845,Aidanfield,060,Christchurch City,Canterbury Region
596800,Akaroa,060,Christchurch City,Canterbury Region
596901,Akaroa Harbour,060,Christchurch City,Canterbury Region
597812,Allenton East,063,Ashburton District,Canterbury Region
597811,Allenton West,063,Ashburton District,Canterbury Region
585802,Amberley,058,Hurunui District,Canterbury Region
585506,Amuri,058,Hurunui District,Canterbury Region
592000,Aorangi,060,Christchurch City,Canterbury Region
593100,Aranui,060,Christchurch City,Canterbury Region
597840,Ashburton Central East,063,Ashburton District,Canterbury Region
597820,Ashburton Central West,063,Ashburton District,Canterbury Region
597715,Ashburton East,063,Ashburton District,Canterbury Region
597713,Ashburton North,063,Ashburton District,Canterbury Region
585808,Ashley,059,Waimakariri District,Canterbury Region
586801,Ashley Gorge,059,Waimakariri District,Canterbury Region
600831,Aviemore,068,Waitaki District,Canterbury Region
596101,Avon-Heathcote Estuary,060,Christchurch City,Canterbury Region
591700,Avon Loop,060,Christchurch City,Canterbury Region
592900,Avondale,060,Christchurch City,Canterbury Region
589900,Avonhead,060,Christchurch City,Canterbury Region
589800,Avonhead West,060,Christchurch City,Canterbury Region
593400,Avonside,060,Christchurch City,Canterbury Region
596902,Banks Peninsula Eastern Bays,060,Christchurch City,Canterbury Region
594800,Barrington North,060,Christchurch City,Canterbury Region
594900,Barrington South,060,Christchurch City,Canterbury Region
595500,Beckenham,060,Christchurch City,Canterbury Region
590400,Belfast,060,Christchurch City,Canterbury Region
588401,Belfast South,060,Christchurch City,Canterbury Region
598311,Ben Mcleod,064,Timaru District,Canterbury Region
593800,Bexley,060,Christchurch City,Canterbury Region
588700,Bishopdale,060,Christchurch City,Canterbury Region
588500,Bishopdale North,060,Christchurch City,Canterbury Region
593900,Bromley,060,Christchurch City,Canterbury Region
587812,Broomfield,060,Christchurch City,Canterbury Region
589200,Bryndwr,060,Christchurch City,Canterbury Region
587020,Burnham Military Camp,062,Selwyn District,Canterbury Region
588900,Burnside,060,Christchurch City,Canterbury Region
592811,Burwood,060,Christchurch City,Canterbury Region
586001,Camside,059,Waimakariri District,Canterbury Region
