"Suburb","2018_Suburb_Population","2019_Suburb_Population","2020_Suburb_Population","2021_Suburb_Population","Number_of_Crime_Records_Sep2016_to_Aug2021","Number_of_Victims_Sep2016_to_Aug2021","Number_of_Crime_Types_Sep2016_to_Aug2021","Num_of_Crimes_per_1000_People","Num_of_Crime_Victims_per_1000_People"
"Addington East",3060,3110,3190,3130,NA,NA,NA,NA,NA
"Addington North",10,10,10,10,NA,NA,NA,NA,NA
"Addington West",2540,2560,2600,2700,NA,NA,NA,NA,NA
"Aidanfield",4050,4090,4090,4110,283,303,4,69.1931540342298,74.0831295843521
"Akaroa",770,790,800,790,132,141,4,165,176.25
"Akaroa Harbour",740,730,730,740,87,91,4,119.178082191781,124.657534246575
"Allenton East",2180,2180,2220,2210,555,591,5,250,266.216216216216
"Allenton North",2630,2630,2660,2680,NA,NA,NA,NA,NA
"Allenton South",2210,2190,2240,2240,NA,NA,NA,NA,NA
"Amberley",2110,2190,2270,2310,337,355,6,148.458149779736,156.387665198238
"Amuri",2310,2320,2440,2450,187,221,5,76.6393442622951,90.5737704918033
"Aranui",4380,4450,4530,4440,994,1031,5,219.426048565121,227.593818984547
"Arundel",1430,1450,1470,1490,NA,NA,NA,NA,NA
"Ashburton Central",150,150,160,160,NA,NA,NA,NA,NA
"Ashburton East",1810,1840,1860,1860,41,42,3,22.0430107526882,22.5806451612903
"Ashburton Forks",2300,2350,2400,2410,NA,NA,NA,NA,NA
"Ashburton Lakes",100,100,110,110,NA,NA,NA,NA,NA
"Ashburton North",1070,1080,1090,1080,49,52,3,44.954128440367,47.7064220183486
"Ashburton West",970,960,990,1020,NA,NA,NA,NA,NA
"Ashgrove",1590,1600,1610,1610,NA,NA,NA,NA,NA
"Ashley-Sefton",2200,2240,2270,2320,NA,NA,NA,NA,NA
"Ashley Forest",690,690,700,720,NA,NA,NA,NA,NA
"Ashley Gorge",1170,1190,1220,1240,204,211,4,167.213114754098,172.950819672131
"Aviemore",800,860,890,920,116,118,5,130.337078651685,132.584269662921
"Avondale (Christchurch city)",2450,2430,2440,2410,NA,NA,NA,NA,NA
"Avonhead East",2910,2940,2960,2950,NA,NA,NA,NA,NA
"Avonhead North",1470,1490,1480,1480,NA,NA,NA,NA,NA
"Avonhead South",3370,3390,3410,3370,NA,NA,NA,NA,NA
"Avonhead West",1900,1880,1890,1850,377,390,5,199.470899470899,206.349206349206
"Avonside",1740,1730,1700,1670,604,631,5,355.294117647059,371.176470588235
"Awatea North",2630,2650,2650,2650,NA,NA,NA,NA,NA
"Awatea South",1090,1500,1830,2080,NA,NA,NA,NA,NA
"Balcairn",2410,2410,2440,2450,NA,NA,NA,NA,NA
"Banks Peninsula South",1210,1230,1240,1240,NA,NA,NA,NA,NA
"Bankside",1760,1790,1830,1820,NA,NA,NA,NA,NA
"Beckenham",2480,2460,2440,2440,303,321,4,124.180327868852,131.55737704918
"Belfast East",2400,2450,2530,2550,NA,NA,NA,NA,NA
"Belfast West",1970,1980,1970,1960,NA,NA,NA,NA,NA
"Ben McLeod",140,140,150,160,NA,NA,NA,NA,NA
"Bexley",2640,2680,2720,2700,557,585,5,204.779411764706,215.073529411765
"Bishopdale North",4350,4360,4350,4330,768,815,6,176.551724137931,187.35632183908
"Bishopdale South",2330,2330,2330,2330,NA,NA,NA,NA,NA
"Bishopdale West",2980,2990,3010,2930,NA,NA,NA,NA,NA
"Broken Run",600,620,640,640,NA,NA,NA,NA,NA
"Bromley North",60,60,60,60,NA,NA,NA,NA,NA
"Bromley South",3030,3030,3020,2950,NA,NA,NA,NA,NA
"Brookhaven-Ferrymead",1110,1100,1110,1140,NA,NA,NA,NA,NA
"Brooklands-Spencerville",760,740,750,750,NA,NA,NA,NA,NA
"Broomfield",2680,2750,2820,2850,399,419,5,141.489361702128,148.581560283688
"Bryndwr North",3540,3520,3540,3470,NA,NA,NA,NA,NA
"Bryndwr South",3000,2960,3010,2950,NA,NA,NA,NA,NA
"Burnham Camp",1280,1380,1410,1360,NA,NA,NA,NA,NA
"Burnside",3650,3680,3700,3660,310,335,5,83.7837837837838,90.5405405405405
"Burnside Park",3380,3400,3420,3360,NA,NA,NA,NA,NA
"Burwood",3360,3330,3390,3410,203,212,5,59.882005899705,62.5368731563422
"Bush Inn",3290,3240,3360,3270,NA,NA,NA,NA,NA
"Cairnbrae",1510,1520,1570,1590,NA,NA,NA,NA,NA
"Casebrook",4210,4230,4250,4250,668,695,5,157.176470588235,163.529411764706
"Cashmere East",3490,3510,3530,3520,439,512,5,124.362606232295,145.042492917847
"Cashmere West",3150,3190,3210,3190,842,899,6,262.305295950156,280.06230529595
"Charing Cross",920,920,940,950,NA,NA,NA,NA,NA
"Charleston (Christchurch city)",1480,1500,1520,1530,NA,NA,NA,NA,NA
"Chertsey",1690,1680,1740,1760,204,209,5,117.241379310345,120.114942528736
"Christchurch Airport",180,180,180,180,NA,NA,NA,NA,NA
"Christchurch Central",110,110,120,130,NA,NA,NA,NA,NA
"Christchurch Central-East",2070,2240,2470,2940,NA,NA,NA,NA,NA
"Christchurch Central-North",2520,2610,2770,2920,NA,NA,NA,NA,NA
"Christchurch Central-South",600,660,730,870,NA,NA,NA,NA,NA
"Christchurch Central-West",1010,1000,1080,1180,NA,NA,NA,NA,NA
"Clarkville",1440,1450,1480,1500,221,229,5,149.324324324324,154.72972972973
"Clearwater",730,730,740,740,NA,NA,NA,NA,NA
"Clifton Hill",1700,1740,1770,1780,NA,NA,NA,NA,NA
"Craigieburn",170,180,180,190,NA,NA,NA,NA,NA
"Dallington",2430,2420,2440,2380,311,325,5,127.459016393443,133.196721311475
"Danseys Pass",1010,1030,1040,1040,NA,NA,NA,NA,NA
"Darfield",2830,2900,2960,2960,193,203,4,65.2027027027027,68.5810810810811
"Deans Bush",2600,2580,2600,2570,330,365,3,126.923076923077,140.384615384615
"Diamond Harbour",1530,1560,1620,1600,132,141,4,81.4814814814815,87.037037037037
"Ealing-Lowcliffe",1630,1670,1720,1720,NA,NA,NA,NA,NA
"Eastern Bays-Banks Peninsula",640,630,630,630,NA,NA,NA,NA,NA
"Edgeware",4370,4430,4490,4510,922,999,6,205.345211581292,222.494432071269
"Eiffelton",2570,2600,2660,2690,NA,NA,NA,NA,NA
"Ensors",2390,2400,2400,2370,1370,1477,6,570.833333333333,615.416666666667
"Eyrewell",1870,1900,1960,2000,79,83,4,40.3061224489796,42.3469387755102
"Fairlie",920,910,920,940,65,65,4,70.6521739130435,70.6521739130435
"Fairview",1670,1690,1720,1730,NA,NA,NA,NA,NA
"Fendalton",2060,2040,2030,2000,911,967,6,448.768472906404,476.354679802956
"Fernside",1360,1380,1400,1420,132,135,5,94.2857142857143,96.4285714285714
