School Number,School Name,Telephone,School Website,Street,Suburb,Town / City,Postal Code,School Type,Gender of Students,Area Unit,Latitude,Longitude,Decile,Total Students
82,Aidanfield Christian School,03 338 8153,http://www.aidanfield.school.nz/,2 Nash Road,Aidanfield,Christchurch,8025,Composite,Co-Educational,Aidanfield,-43.563771,172.571,8,386
307,Kaikoura High School,03 319 5138,http://www.kaikourahigh.school.nz,1 Rorrisons Road,,Kaikoura,7340,Secondary (Year 7-15),Co-Educational,Kaikoura Rural,-42.400438,173.674454,4,215
308,Amuri Area School,03 315 8233,http://www.amuri.school.nz,School Road,,Culverden,7345,Composite,Co-Educational,Culverden,-42.771117,172.848257,8,367
309,Cheviot Area School,03 319 8787,http://www.cheviot.school.nz/,Hall Street,,Cheviot,7341,Composite,Co-Educational,Cheviot,-42.811459,173.275547,4,212
310,Oxford Area School,03 312 4197,http://www.oxford.school.nz,52 Bay Road,,Oxford,7430,Composite,Co-Educational,Oxford,-43.2942,172.187986,7,531
311,Hurunui College,03 314 4430,http://www.hurunuicollege.school.nz,Tenterden Street,,Hawarden,7348,Composite,Co-Educational,Hurunui,-42.92381,172.637037,7,204
312,Rangiora High School,03 311 8888,http://www.rangiorahigh.school.nz,East Belt,,Rangiora,7400,Secondary (Year 9-15),Co-Educational,Rangiora North,-43.298192,172.598729,9,1573
314,Kaiapoi High School,03 375 5004,http://www.kaiapoi.school.nz,101 Ohoka Road,,Kaiapoi,7630,Secondary (Year 9-15),Co-Educational,Mansfield,-43.387172,172.646126,7,920
315,St Bedes College,03 375 0647,http://www.stbedes.school.nz,210 Main North Road,Papanui,Christchurch,8542,Secondary (Year 9-15),Single Sex (Boys School),Redwood South,-43.484055,172.616872,9,811
316,Papanui High School,03 352 6119,http://www.papanui.school.nz/,30 Langdons Road,Papanui,Christchurch,8542,Secondary (Year 9-15),Co-Educational,Northcote,-43.491042,172.606715,7,1578
317,Christchurch Adventist School,03 352 9173,http://www.cas.school.nz,15 Grants Road,Papanui,Christchurch,8542,Composite,Co-Educational,Papanui,-43.499023,172.611436,5,271
