Suburb,2018,2019,2020,2021
Kaikoura Ranges,1750,1770,1810,1840
Kaikoura,2300,2340,2410,2420
Hanmer Range,280,280,280,280
Amuri,2310,2320,2440,2450
Hanmer Springs,1030,1070,1100,1120
Upper Hurunui,1510,1520,1530,1530
Parnassus,1340,1330,1320,1320
Ashley Forest,690,690,700,720
Omihi,1280,1280,1280,1270
Balcairn,2410,2410,2440,2450
Amberley,2110,2190,2270,2310
Okuku,740,760,770,780
Ashley Gorge,1170,1190,1220,1240
Oxford,2280,2330,2370,2380
Starvation Hill-Cust,2290,2330,2400,2440
Loburn,2230,2260,2320,2360
Eyrewell,1870,1900,1960,2000
West Eyreton,1500,1500,1530,1550
Ashley-Sefton,2200,2240,2270,2320
Fernside,1360,1380,1400,1420
Rangiora North West,2180,2360,2440,2510
Kingsbury,2850,2840,2830,2830
Ashgrove,1590,1600,1610,1610
Rangiora North East,1870,1880,1890,1870
Oxford Estate,1360,1390,1410,1400
Rangiora Central,40,40,50,50
Rangiora South West,2410,2430,2450,2440
Lilybrook,3050,3060,3100,3030
Waikuku,1680,1710,1900,2140
Mandeville-Ohoka,3330,3470,3590,3600
Rangiora South East,2230,2440,2640,2700
Southbrook,800,800,810,810
Swannanoa-Eyreton,990,1000,1030,1030
Tuahiwi,980,970,990,980
Woodend,2860,2880,2960,3190
Pegasus,2770,3000,3380,3810
Clarkville,1440,1450,1480,1500
Pegasus Bay,1080,1080,1130,1210
Kaiapoi North West,2140,2140,2180,2180
Silverstream (Waimakariri district),860,940,1090,1230
Sovereign Palms,3530,3750,3860,3900
Kaiapoi West,1280,1270,1290,1280
Kaiapoi Central,2220,2240,2260,2250
Kaiapoi South,1880,1900,1920,1940
Kaiapoi East,280,270,270,270
McLeans Island,210,200,190,190
Paparua,1020,1020,1020,1010
Yaldhurst,1660,1670,1740,1920
Christchurch Airport,180,180,180,180
Clearwater,730,730,740,740
Belfast West,1970,1980,1970,1960
Harewood,1430,1410,1420,1400
Brooklands-Spencerville,760,740,750,750
Styx,1110,1090,1070,1070
Belfast East,2400,2450,2530,2550
Northwood,3700,3680,3670,3630
Russley,1010,1010,1010,1000
Regents Park,1200,1330,1500,1670
Hawthornden,2600,2600,2680,2710
Bishopdale North,4350,4360,4350,4330
Casebrook,4210,4230,4250,4250
Bishopdale West,2980,2990,3010,2930
Templeton,1840,1820,1820,1790
Islington,1010,1020,1040,1030
Burnside Park,3380,3400,3420,3360
Marshland,820,820,840,910
Avonhead North,1470,1490,1480,1480
Redwood North,2860,2840,2830,2810
Broomfield,2680,2750,2820,2850
Redwood West,2270,2260,2270,2210
Avonhead West,1900,1880,1890,1850
Bishopdale South,2330,2330,2330,2330
Islington-Hornby Industrial,360,340,340,340
Burnside,3650,3680,3700,3660
Hei Hei,3620,3610,3610,3600
Papanui North,2040,2020,2030,2020
Avonhead East,2910,2940,2960,2950
Redwood East,3310,3310,3320,3290
Avonhead South,3370,3390,3410,3370
Riccarton Racecourse,1250,1290,1340,1490
Bryndwr North,3540,3520,3540,3470
Northlands (Christchurch city),130,130,130,110
Papanui West,3010,2990,3150,3110
Ilam North,3900,3940,3950,3910
Hornby West,2590,2600,2610,2590
Hornby Central,140,160,160,150
Northcote (Christchurch city),2730,2760,2790,2770
Jellie Park,3140,3130,3140,3080
Ilam South,3390,3390,3400,3350
Bryndwr South,3000,2960,3010,2950
Papanui East,2440,2450,2450,2380
Sockburn North,4230,4200,4200,4120
Hornby South,4640,4660,4710,4660
Ilam University,2670,2650,2640,2550
Prestons,3130,3570,3970,4560
Strowan,3600,3600,3600,3560
Fendalton,2060,2040,2030,2000
Waitikiri,2790,2800,2820,2800
Mairehau North,3220,3170,3140,3120
Bush Inn,3290,3240,3360,3270
Awatea North,2630,2650,2650,2650
Upper Riccarton,1830,1850,1880,1880
Malvern,2680,2650,2660,2630
Rutland,3000,2960,2940,2890
Sockburn South,400,400,410,430
Deans Bush,2600,2580,2600,2570
Wigram North,660,720,810,910
Holmwood,2200,2200,2220,2210
Wharenui,2920,2900,2880,2840
Wigram West,1510,1550,1600,1640
Awatea South,1090,1500,1830,2080
Merivale,3030,3010,3030,3030
Mairehau South,3890,3860,3840,3800
Mona Vale,1410,1430,1440,1460
Riccarton West,3560,3620,3710,3610
Shirley West,4310,4330,4360,4310
Middleton,200,200,200,210
Wigram South,1410,1430,1470,1470
Queenspark,3580,3580,3600,3570
St Albans North,2230,2210,2220,2210
St Albans West,2670,2700,2720,2680
Travis Wetlands,2450,2430,2410,2410
Wigram East,830,870,910,930
Riccarton Central,50,50,50,60
Oaklands West,2600,2640,2680,2790
Riccarton South,3740,3800,3900,3850
Halswell West,3760,3990,4170,4600
Shirley East,2750,2730,2760,2690
Broken Run,600,620,640,640
St Albans East,3140,3250,3300,3300
Hagley Park,50,40,40,40
Hillmorton,2920,2920,2950,2930
Parklands,4150,4120,4090,4060
Riccarton East,1160,1160,1190,1250
Edgeware,4370,4430,4490,4510
Aidanfield,4050,4090,4090,4110
Tower Junction,120,240,230,230
Burwood,3360,3330,3390,3410
Christchurch Central-West,1010,1000,1080,1180
Christchurch Central-North,2520,2610,2770,2920
Richmond North (Christchurch city),2390,2380,2390,2430
Waimairi Beach,1340,1340,1330,1320
Addington West,2540,2560,2600,2700
Otakaro-Avon River Corridor,110,120,110,110
Oaklands East,3450,3460,3470,3480
